Num,QueryGeneID,QueryLength,SpeciesWithGeneFunction,BS_of_orthogroupBasalNode,2ndGeneTree,BHnum_Drosophila-melanogaster,BHnum_Ciona-intestinalis,BHnum_Xenopus-tropicalis,BHnum_Gallus-gallus,BHnum_Homo-sapiens,BHnum_Danio-rerio,BHnum_Tetraodon-nigroviridis,BHnum_Gasterosteus-aculeatus,BHnum_Oryzias-latipes,OGnum_Xenopus-tropicalis,OGnum_Gallus-gallus,OGnum_Homo-sapiens,OGnum_Danio-rerio,OGnum_Oryzias-latipes,OGnum_Tetraodon-nigroviridis,OGnum_Gasterosteus-aculeatus,BS_of_BonyVertebrates_monophyly,dupStatus_BonyVertebrates,BS_of_Teleostei_monophyly,dupStatus_Teleostei,BS_of_Percomorpha_monophyly,dupStatus_Percomorpha,BS_of_Oryzias-latipes_monophyly,dupStatus_Oryzias-latipes,Sister_of_BonyVertebrates,BS_with_BonyVertebrates,Sister_of_Teleostei,BS_with_Teleostei,Sister_of_Percomorpha,BS_with_Percomorpha,Sister_of_Oryzias-latipes,BS_with_Oryzias-latipes
78,ENSORLT00000007195.1,1197,Homo-sapiens_ENST00000371100.8_GNAS-GNAS-complex-locus ,96,DONE,10,10,10,10,10,10,10,10,10,1,1,1,1,2,2,2,100,D=Y,96,D=N,r,D=Y,leaf,leaf,Amniota,100,Xenopus-tropicalis,90,Danio-rerio,96,Eupercaria,100
79,ENSORLT00000012701.1,672,Homo-sapiens_ENST00000375549.8_SDHD-succinate-dehydrog Homo-sapiens_ENST00000531744.5_AP002884.2-novel-transc ,100,DONE,1,0,1,1,2,2,1,0,1,1,1,2,2,1,1,0,100,D=N,r,D=N,83,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,r,Tetraodon-nigroviridis,83
80,ENSORLT00000006418.1,1473,,r,DONE,10,10,10,10,10,10,10,10,10,1,1,0,2,1,1,1,100,D=N,r,D=Y,99,D=Y,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,97,Tetraodon-nigroviridis,97
81,ENSORLT00000006224.1,1194,Homo-sapiens_ENST00000262948.10_MAP2K2-mitogen-activat Homo-sapiens_ENST00000467614.2_AC011005.1-novel-protei ,96,DONE,10,10,10,10,10,10,10,10,10,0,1,2,2,1,1,2,100,D=N,96,D=Y,98,D=N,leaf,leaf,NoGeneNode,NONE,Amniota,100,Danio-rerio,77,Eupercaria,98
82,ENSORLT00000024588.1,1191,Homo-sapiens_ENST00000334049.11_GNAL-G-protein-subunit ,99,DONE,10,10,10,10,10,10,10,10,10,1,1,1,2,2,2,2,100,D=Y,r,D=Y,100,D=N,leaf,leaf,Tetrapoda,100,Gallus-gallus,91,Danio-rerio,r,Eupercaria,100
83,ENSORLT00000020791.1,204,Homo-sapiens_ENST00000248150.5_GNG13-G-protein-subunit ,94,DONE,1,1,8,6,8,10,7,8,5,1,1,1,1,2,2,1,100,D=N,r,D=N,r,D=Y,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,r,Tetraodon-nigroviridis,89
84,ENSORLT00000021648.1,1056,Homo-sapiens_ENST00000370685.7_PRKACB-protein-kinase-c ,83,DONE,10,10,10,10,10,10,10,10,10,1,1,1,3,2,2,2,100,D=Y,r,D=N,r,D=Y,leaf,leaf,NoGeneNode,NONE,BonyVertebrates(Tetrapoda;Danio-rerio),100,Danio-rerio,r,Eupercaria,92
85,ENSORLT00000004679.1,1191,Homo-sapiens_ENST00000334049.11_GNAL-G-protein-subunit ,98,DONE,10,10,10,10,10,10,10,10,10,1,1,1,2,2,2,2,100,D=Y,r,D=Y,r,D=N,leaf,leaf,Tetrapoda,100,Gallus-gallus,92,Danio-rerio,73,Eupercaria,r
86,ENSORLT00000010988.1,204,Homo-sapiens_ENST00000248150.5_GNG13-G-protein-subunit ,95,DONE,1,1,8,6,8,9,6,7,3,1,1,1,1,2,2,1,100,D=N,r,D=N,r,D=Y,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,r,Eupercaria,100
87,ENSORLT00000004504.1,1023,Homo-sapiens_ENST00000610897.4_GNB1-G-protein-subunit- ,99,DONE,10,10,10,10,10,10,10,10,10,1,1,1,2,1,2,2,100,D=N,r,D=Y,79,D=Y,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,r,Tetraodon-nigroviridis,78
88,ENSORLT00000022255.1,2307,Homo-sapiens_ENST00000395578.3_PRKG2-protein-kinase-cG ,99,DONE,10,10,10,10,10,10,10,10,10,1,1,1,1,1,0,1,100,D=Y,NoGeneNode,NONE,100,D=N,leaf,leaf,NoGeneNode,NONE,NoGeneNode,NONE,BonyVertebrates(Tetrapoda;Danio-rerio),100,Gasterosteus-aculeatus,100
89,ENSORLT00000023600.1,570,Homo-sapiens_ENST00000397596.6_HRAS-HRas-proto-oncogen Homo-sapiens_ENST00000631404.1_HRAS-HRas-proto-oncogen ,100,DONE,10,10,10,10,10,10,10,10,10,1,1,2,2,1,1,1,100,D=N,r,D=N,r,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,r,Eupercaria,r
90,ENSORLT00000021103.1,3408,Homo-sapiens_ENST00000405392.5_ADCY3-adenylate-cyclase ,100,DONE,10,10,10,10,10,10,10,10,10,1,1,1,2,2,2,2,100,D=Y,r,D=N,100,D=N,leaf,leaf,NoGeneNode,NONE,BonyVertebrates(Percomorpha;Danio-rerio;Tetrapoda),100,Danio-rerio,r,Eupercaria,100
91,ENSORLT00000016747.1,984,Homo-sapiens_ENST00000296122.10_PPP1CB-protein-phospha ,79,DONE,10,10,10,10,10,10,10,10,10,0,1,1,1,1,1,2,100,D=N,r,D=N,r,D=Y,leaf,leaf,NoGeneNode,NONE,Amniota,100,Danio-rerio,r,Eupercaria,71
92,ENSORLT00000008052.1,2706,Homo-sapiens_ENST00000286355.10_ADCY8-adenylate-cyclas ,Less than 4 orthogroup members.,NONE,10,10,10,10,10,10,10,10,10,0,1,1,0,1,0,0,,,,,,,,,,,,,,,,
93,ENSORLT00000014319.1,570,Homo-sapiens_ENST00000256078.10_KRAS-KRAS-proto-oncoge ,r,DONE,10,10,10,10,10,10,10,10,10,0,1,1,0,1,1,1,100,D=N,NoGeneNode,NONE,90,D=Y,leaf,leaf,NoGeneNode,NONE,NoGeneNode,NONE,Amniota,100,Tetraodon-nigroviridis,76
94,ENSORLT00000001204.1,3120,Homo-sapiens_ENST00000444676.5_OGDH-oxoglutarate-dehyd ,88,DONE,4,4,3,3,3,4,4,4,4,1,1,1,2,2,2,2,100,D=N,r,D=Y,100,D=Y,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Teleostei(Eupercaria;Oryzias-latipes;Danio-rerio),r,Gasterosteus-aculeatus,85
95,ENSORLT00000011325.1,3126,Homo-sapiens_ENST00000310677.8_ADCY4-adenylate-cyclase Homo-sapiens_ENST00000338316.9_ADCY2-adenylate-cyclase Homo-sapiens_ENST00000394697.7_ADCY7-adenylate-cyclase Homo-sapiens_ENST00000644961.1_ADCY4-adenylate-cyclase ,100,DONE,10,10,10,10,10,10,10,10,10,2,2,4,3,3,3,3,100,D=Y,NoGeneNode,NONE,100,D=N,leaf,leaf,NoGeneNode,NONE,NoGeneNode,NONE,BonyVertebrates(BonyVertebrates;Tetrapoda;Teleostei),100,Eupercaria,100
96,ENSORLT00000004629.1,3312,Homo-sapiens_ENST00000352035.7_ACLY-ATP-citrate-lyase ,100,DONE,4,6,3,4,4,3,8,5,4,1,1,1,2,2,3,2,100,D=N,r,D=Y,r,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,r,Eupercaria,r
97,ENSORLT00000017407.1,3288,Homo-sapiens_ENST00000352035.7_ACLY-ATP-citrate-lyase ,100,DONE,4,6,3,4,4,3,7,4,4,1,1,1,2,2,3,2,100,D=N,r,D=Y,r,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,r,Eupercaria,r
98,ENSORLT00000006588.2,1560,Homo-sapiens_ENST00000394829.6_PPP3CB-protein-phosphat ,r,DONE,10,10,10,10,10,10,10,10,10,1,1,1,0,2,2,2,100,D=N,NoGeneNode,NONE,96,D=Y,leaf,leaf,NoGeneNode,NONE,NoGeneNode,NONE,Tetrapoda,100,Eupercaria,100
99,ENSORLT00000011930.2,3348,Homo-sapiens_ENST00000218006.3_GUCY2F-guanylate-cyclas ,95,DONE,10,10,10,10,10,10,10,10,10,1,0,1,1,1,1,1,100,D=N,100,D=N,100,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,100,Eupercaria,100
100,ENSORLT00000014366.1,1989,Homo-sapiens_ENST00000442415.7_RAF1-Raf-1-proto-oncoge ,70,DONE,10,10,10,10,10,10,10,10,10,1,1,1,2,1,1,1,100,D=N,76,D=Y,99,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,98,Eupercaria,99
101,ENSORLT00000015021.1,1170,Homo-sapiens_ENST00000263025.9_MAPK3-mitogen-activated ,r,DONE,10,10,10,10,10,10,10,10,10,0,0,1,1,1,1,1,100,D=N,95,D=N,93,D=N,leaf,leaf,NoGeneNode,NONE,Homo-sapiens,100,Danio-rerio,95,Eupercaria,93
102,ENSORLT00000017486.1,972,,76,DONE,10,10,10,10,10,10,10,10,10,1,1,0,1,1,1,1,100,D=N,100,D=N,r,D=Y,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,100,Gasterosteus-aculeatus,83
103,ENSORLT00000020930.1,1818,Homo-sapiens_ENST00000290277.10_ARAF-A-Raf-proto-oncog ,r,DONE,10,10,10,10,10,10,10,10,10,1,0,1,1,1,1,1,100,D=N,100,D=N,100,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,100,Eupercaria,100
104,ENSORLT00000002504.1,993,Homo-sapiens_ENST00000312989.11_PPP1CA-protein-phospha ,r,DONE,10,10,10,10,10,10,10,10,10,1,0,1,2,3,3,3,100,D=Y,100,D=Y,r,D=N,leaf,leaf,Percomorpha,100,Tetrapoda,100,Danio-rerio,r,Eupercaria,r
105,ENSORLT00000007369.1,978,Homo-sapiens_ENST00000312989.11_PPP1CA-protein-phospha ,r,DONE,10,10,10,10,10,10,10,10,10,1,0,1,2,2,2,2,100,D=N,76,D=Y,97,D=Y,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Teleostei(Eupercaria;Oryzias-latipes;Danio-rerio),79,Gasterosteus-aculeatus,72
106,ENSORLT00000008044.1,1050,NONE,noOrthogroup_noKeynode,NONE,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,
107,ENSORLT00000013925.1,987,NONE,noOrthogroup_noKeynode,NONE,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,
108,ENSORLT00000016836.1,1074,Homo-sapiens_ENST00000674920.1_ATF4-activating-transcr ,r,DONE,1,1,6,5,8,8,9,8,9,1,1,1,2,2,2,2,100,D=N,r,D=Y,96,D=Y,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,92,Gasterosteus-aculeatus,72
109,ENSORLT00000017526.1,7260,Homo-sapiens_ENST00000399546.6_BRDT-bromodomain-testis ,r,DONE,10,10,10,10,10,10,10,10,10,1,1,1,1,1,1,1,100,D=Y,91,D=N,r,D=Y,leaf,leaf,Amniota,100,Xenopus-tropicalis,100,Danio-rerio,91,Tetraodon-nigroviridis,100
110,ENSORLT00000002910.1,2112,Homo-sapiens_ENST00000295121.11_WDR92-WD-repeat-domain Homo-sapiens_ENST00000406334.3_AC017083.3-novel-protei ,r,DONE,10,10,10,10,10,10,10,10,10,1,1,2,1,1,1,1,100,D=N,r,D=N,r,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,r,Eupercaria,r
111,ENSORLT00000003270.1,2346,Homo-sapiens_ENST00000396512.3_ACO2-aconitase-2 ,r,DONE,4,3,3,3,3,3,2,4,3,1,1,1,1,1,1,2,100,D=N,r,D=N,r,D=Y,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,r,Eupercaria,100
112,ENSORLT00000007313.1,558,Homo-sapiens_ENST00000356415.5_RAP1A-RAP1A-member-of-R ,r,DONE,10,10,10,10,10,10,10,10,10,1,1,1,2,2,2,2,100,D=Y,r,D=Y,r,D=Y,leaf,leaf,Xenopus-tropicalis,100,Amniota,100,Danio-rerio,r,Gasterosteus-aculeatus,78
113,ENSORLT00000008833.1,1047,Homo-sapiens_ENST00000308677.9_PRKACA-protein-kinase-c Homo-sapiens_ENST00000377276.5_PRKACG-protein-kinase-c Homo-sapiens_ENST00000673550.1_PRKACA-protein-kinase-c ,r,DONE,10,10,10,10,10,10,10,10,10,1,0,3,2,2,2,2,100,D=Y,r,D=Y,83,D=N,leaf,leaf,Homo-sapiens,100,Xenopus-tropicalis,76,Danio-rerio,r,Eupercaria,83
114,ENSORLT00000001097.1,1119,Homo-sapiens_ENST00000395749.7_CAMK2B-calcium-calmodul ,r,DONE,10,10,10,10,10,10,10,10,10,1,1,1,2,2,2,0,100,D=N,r,D=Y,r,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,r,Tetraodon-nigroviridis,r
115,ENSORLT00000000766.1,2247,Homo-sapiens_ENST00000371741.6_KCNB1-potassium-voltage Homo-sapiens_ENST00000523207.2_KCNB2-potassium-voltage ,r,DONE,10,10,10,10,10,10,10,10,10,1,1,2,2,1,2,1,100,D=Y,NoGeneNode,NONE,NoGeneNode,NONE,leaf,leaf,Homo-sapiens,100,NoGeneNode,NONE,NoGeneNode,NONE,BonyVertebrates(Tetrapoda;Tetraodon-nigroviridis;Danio-rerio),89
116,ENSORLT00000021486.1,3090,Homo-sapiens_ENST00000297323.12_ADCY1-adenylate-cyclas ,100,DONE,10,10,10,10,10,10,10,10,10,1,1,1,2,2,2,2,100,D=N,r,D=Y,100,D=Y,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,82,Tetraodon-nigroviridis,96
117,ENSORLT00000006681.1,2160,,93,DONE,3,4,5,5,4,5,4,4,5,1,0,0,2,1,2,1,100,D=N,r,D=Y,99,D=N,leaf,leaf,NoGeneNode,NONE,Xenopus-tropicalis,100,Danio-rerio,r,Tetraodon-nigroviridis,99
118,ENSORLT00000007664.1,975,Homo-sapiens_ENST00000393868.7_SUCLG1-succinate-CoA-li ,99,DONE,3,1,2,2,2,3,4,3,3,1,1,1,1,1,1,1,100,D=N,99,D=Y,r,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,85,Gasterosteus-aculeatus,r
119,ENSORLT00000017626.1,1404,Homo-sapiens_ENST00000643023.1_SUCLA2-succinate-CoA-li ,100,DONE,2,2,2,2,2,4,4,4,4,1,1,1,1,1,0,1,100,D=N,100,D=N,86,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,100,Gasterosteus-aculeatus,86
120,ENSORLT00000007944.1,1056,Homo-sapiens_ENST00000370685.7_PRKACB-protein-kinase-c ,89,DONE,10,10,10,10,10,10,10,10,10,1,1,1,3,2,2,2,100,D=Y,r,D=N,r,D=Y,leaf,leaf,NoGeneNode,NONE,BonyVertebrates(Tetrapoda;Danio-rerio),100,Danio-rerio,r,Gasterosteus-aculeatus,79
121,ENSORLT00000015883.1,1023,NONE,noOrthogroup_noKeynode,NONE,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,
